,Employee_ID,Gender,Age,Relationship_Status,Hometown,Unit,Time_of_service,Time_since_promotion,Travel_Rate,Post_Level,Pay_Scale,Work_Life_balance,Attrition
0,EID_23371,F,42.0,Married,Franklin,IT,4.0,4,1,1,7.0,3.0,0.0
1,EID_18000,M,24.0,Single,Springfield,Logistics,5.0,4,0,3,6.0,4.0,0.0
2,EID_3891,F,58.0,Married,Clinton,Quality,27.0,3,0,2,8.0,1.0,0.0
3,EID_17492,F,26.0,Single,Lebanon,Human Resource Management,4.0,3,1,3,8.0,1.0,0.0
4,EID_22534,F,31.0,Married,Springfield,Logistics,5.0,4,1,3,2.0,3.0,0.0
5,EID_2278,M,54.0,Married,Lebanon,Purchasing,19.0,1,2,5,9.0,1.0,1.0
6,EID_18588,F,21.0,Married,Springfield,Purchasing,2.0,1,1,1,6.0,2.0,0.0
7,EID_1235,F,,Married,Springfield,Sales,34.0,4,1,4,6.0,2.0,0.0
8,EID_10197,M,40.0,Single,Springfield,Production,13.0,1,0,1,9.0,4.0,0.0
9,EID_21262,M,45.0,Married,Lebanon,IT,21.0,4,0,2,5.0,4.0,0.0
10,EID_9153,F,65.0,Single,Lebanon,Purchasing,31.0,3,1,1,6.0,3.0,0.0
11,EID_19087,F,19.0,Single,Springfield,Operarions,0.0,0,1,2,5.0,1.0,0.0
12,EID_4825,M,63.0,Married,Lebanon,Sales,27.0,1,0,2,7.0,1.0,0.0
13,EID_17644,F,23.0,Single,Washington,Logistics,4.0,2,1,3,8.0,3.0,0.0
14,EID_20902,F,19.0,Married,Washington,Human Resource Management,0.0,0,0,2,9.0,3.0,0.0
15,EID_20121,F,,Married,Springfield,Logistics,0.0,0,1,2,6.0,2.0,0.0
16,EID_5504,M,65.0,Single,Franklin,IT,35.0,1,0,3,4.0,2.0,0.0
17,EID_8049,F,40.0,Married,Springfield,Accounting and Finance,12.0,1,1,3,9.0,2.0,0.0
18,EID_14638,M,33.0,Single,Springfield,Accounting and Finance,9.0,1,1,2,5.0,1.0,0.0
19,EID_12947,M,32.0,Single,Lebanon,IT,7.0,4,0,4,5.0,1.0,1.0
20,EID_20029,F,22.0,Married,Clinton,Quality,3.0,1,0,4,6.0,3.0,0.0
21,EID_23546,F,25.0,Married,Springfield,IT,6.0,3,1,2,6.0,1.0,0.0
22,EID_3722,M,65.0,Married,Franklin,IT,33.0,2,0,3,7.0,2.0,0.0
23,EID_23853,F,31.0,Married,Washington,Accounting and Finance,6.0,4,1,3,8.0,1.0,0.0
24,EID_16808,F,24.0,Single,Springfield,Sales,5.0,1,0,3,8.0,2.0,0.0
25,EID_3901,F,,Married,Washington,Marketing,15.0,1,1,3,3.0,1.0,1.0
